timestamp,candidate,median_time,sample_times,response_preview
2025-11-02 07:21:02,A,0.049149,0.055189;0.055387;0.050272;0.040112;0.052175;0.044755;0.048026;0.039405,Enter password: Wrong!
2025-11-02 07:21:02,B,0.061140,0.053307;0.061115;0.064628;0.062559;0.056452;0.047772;0.061380;0.061166,Enter password: Wrong!
2025-11-02 07:21:03,C,0.060184,0.058009;0.066466;0.059470;0.061320;0.059551;0.060817;0.063206;0.046980,Enter password: Wrong!
2025-11-02 07:21:03,D,0.059709,0.060246;0.064266;0.058499;0.059173;0.060618;0.048435;0.069182;0.053126,Enter password: Wrong!
2025-11-02 07:21:03,E,0.060734,0.046947;0.065988;0.072301;0.046721;0.063822;0.058702;0.062765;0.050951,Enter password: Wrong!
2025-11-02 07:21:04,F,0.057343,0.054755;0.048949;0.042456;0.065328;0.059601;0.066082;0.062582;0.055084,Enter password: Wrong!
2025-11-02 07:21:04,G,0.060267,0.041033;0.051539;0.062394;0.061212;0.060227;0.061946;0.060307;0.050566,Enter password: Wrong!
2025-11-02 07:21:05,H,0.061084,0.060824;0.073608;0.061344;0.045700;0.063051;0.062059;0.059531;0.060753,Enter password: Wrong!
2025-11-02 07:21:05,I,0.058584,0.058625;0.062847;0.048410;0.060253;0.044728;0.058543;0.049074;0.060544,Enter password: Wrong!
2025-11-02 07:21:06,J,0.063151,0.074839;0.063255;0.063046;0.062326;0.066884;0.058885;0.061223;0.086486,Enter password: Wrong!
2025-11-02 07:21:06,K,0.057751,0.057944;0.054139;0.071405;0.050157;0.067016;0.057558;0.058596;0.049085,Enter password: Wrong!
2025-11-02 07:21:07,L,0.068624,0.069837;0.073932;0.060279;0.107500;0.067411;0.085820;0.063158;0.060238,Enter password: Wrong!
2025-11-02 07:21:07,M,0.060152,0.041886;0.062249;0.060640;0.059664;0.062607;0.058115;0.047386;0.061595,Enter password: Wrong!
2025-11-02 07:21:08,N,0.058455,0.041534;0.047261;0.063667;0.074836;0.060743;0.056168;0.052151;0.082281,Enter password: Wrong!
2025-11-02 07:21:08,O,0.061414,0.069204;0.062607;0.044692;0.063368;0.060221;0.057942;0.051613;0.071824,Enter password: Wrong!
2025-11-02 07:21:09,P,0.057853,0.043741;0.050138;0.055492;0.060213;0.062829;0.061210;0.061341;0.052604,Enter password: Wrong!
2025-11-02 07:21:09,Q,0.059676,0.054283;0.052192;0.060609;0.090485;0.044675;0.065218;0.060541;0.058811,Enter password: Wrong!
2025-11-02 07:21:10,R,0.057083,0.057474;0.054807;0.071075;0.046113;0.062718;0.091517;0.037031;0.056692,Enter password: Wrong!
2025-11-02 07:21:10,S,0.057671,0.046779;0.058475;0.067254;0.056866;0.063346;0.058563;0.039319;0.040494,Enter password: Wrong!
2025-11-02 07:21:11,T,0.058945,0.077402;0.063824;0.059871;0.060279;0.048296;0.058020;0.051668;0.056323,Enter password: Wrong!
